관광지명,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag
레이저서바이벌M,1,"['체험', '레저', '관광', '친구', '관광지', '무장애']",1.0,"['관광', '관광지', '친구', '레저', '무장애']",0.0,"['레저', '친구']",0.0,"['관광', '레저', '무장애', '친구']"
렛츠런파크,1,"['체험', '레저', '어린이', '맑음', '승마']",1.0,"['어린이', '레저', '맑음']",1.0,"['레저', '맑음', '어린이']",0.0,"['승마', '레저']"
렛츠런팜 양귀비꽃,1,"['어린이', '맑음']",1.0,"['어린이', '맑음']",1.0,"['맑음', '어린이']",0.0,
리틀화이트,1,['동반'],0.0,,0.0,,1.0,['동반']
마원,1,"['체험', '레저', '어린이', '맑음', '커플', '친구']",1.0,"['어린이', '친구', '커플', '레저', '맑음']",1.0,"['레저', '맑음', '커플', '친구', '어린이']",0.0,"['커플', '레저', '친구']"
마이애미함독카페,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
맛있는 철학자(태반의땅제주),1,"['체험', '관광', '어린이', '친구']",1.0,"['관광', '어린이', '친구']",0.0,"['친구', '어린이']",0.0,"['관광', '친구']"
멍더랜드,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
모비딕다이브,1,"['체험', '관광', '맑음', '해변']",1.0,"['관광', '맑음']",1.0,"['맑음', '해변']",0.0,['관광']
모슬포항,1,"['맑음', '커플', '친구', '해변']",0.0,"['친구', '커플', '맑음']",1.0,"['맑음', '해변', '커플', '친구']",0.0,"['커플', '친구']"
몽story,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
몽몽까까,1,['동반'],0.0,,0.0,,1.0,['동반']
무릉도원마을,1,"['체험', '관광', '마을', '어린이', '커플', '친구', '산책']",1.0,"['관광', '어린이', '친구', '커플', '마을', '산책']",0.0,"['커플', '친구', '어린이']",0.0,"['커플', '관광', '친구']"
묵리마을,1,"['관광', '마을', '커플', '친구', '산책']",1.0,"['관광', '친구', '커플', '마을', '산책']",0.0,"['커플', '친구']",0.0,"['커플', '관광', '친구']"
문화예술마을 저지리 농어촌체험마을,1,"['체험', '관광', '마을', '커플', '친구', '산책']",1.0,"['관광', '친구', '커플', '마을', '산책']",0.0,"['커플', '친구']",0.0,"['커플', '관광', '친구']"
미요캔들,1,"['체험', '관광', '커플', '친구']",1.0,"['관광', '친구', '커플']",0.0,"['커플', '친구']",1.0,"['커플', '관광', '친구']"
베콩스,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
